,Country_Region,Confirmed,Deaths,Active,Deaths_per_100,iso3,Population,Lat,Long,Continent,Cases_per_million,Confirmed_last_week,Deaths_last_week,New_cases_last_week,New_deaths_last_week,Confirmed_last_month,Deaths_last_month,New_cases_last_month,New_deaths_last_month
93,Kosovo,227953.0,3138.0,0.0,1.3765995621904514,XKS,1810366.0,42.602636,20.902977,Europe,125915.42262724775,227838.0,3138.0,115.0,0.0,227324.0,3130.0,629.0,8.0
94,Kuwait,631294.0,2555.0,0.0,0.40472426476411943,KWT,4270563.0,29.31166,47.481766,Asia,147824.53742047594,630888.0,2555.0,406.0,0.0,628130.0,2553.0,3164.0,2.0
95,Kyrgyzstan,200983.0,2991.0,0.0,1.4881855679336065,KGZ,6524191.0,41.20438,74.766098,Asia,30805.811785706457,200980.0,2991.0,3.0,0.0,200868.0,2984.0,115.0,7.0
96,Laos,204893.0,732.0,0.0,0.3572596428379691,LAO,7275556.0,19.85627,102.495496,Asia,28161.833954683327,199868.0,714.0,5025.0,18.0,164078.0,654.0,40815.0,78.0
97,Latvia,816994.0,5743.0,0.0,0.7029427388695634,LVA,1886202.0,56.8796,24.6032,Europe,433142.36757250817,812877.0,5714.0,4117.0,29.0,789483.0,5572.0,27511.0,171.0
98,Lebanon,1096320.0,10374.0,0.0,0.9462565674255691,LBN,6825442.0,33.8547,35.8623,Asia,160622.56480972221,1095518.0,10358.0,802.0,16.0,1090498.0,10278.0,5822.0,96.0
99,Lesotho,32968.0,697.0,0.0,2.114171317641349,LSO,2142252.0,-29.61,28.2336,Africa,15389.412636795298,32968.0,697.0,0.0,0.0,32880.0,697.0,88.0,0.0
100,Liberia,7432.0,294.0,0.0,3.955866523143165,LBR,5057677.0,6.428055,-9.429499,Africa,1469.4493143789134,7402.0,294.0,30.0,0.0,7397.0,294.0,35.0,0.0
101,Libya,501862.0,6429.0,0.0,1.281029446341823,LBY,6871287.0,26.3351,17.228331,Africa,73037.55468225967,501834.0,6429.0,28.0,0.0,501420.0,6397.0,442.0,32.0
102,Liechtenstein,17091.0,84.0,0.0,0.491486747410918,LIE,38137.0,47.14,9.55,Europe,448147.4683378347,16975.0,84.0,116.0,0.0,16017.0,83.0,1074.0,1.0
